country,score-2020,rank-2020,score-2019,rank-2019,score-2018,rank-2018,score-2017,rank-2017
Denmark,88,1,87,1,88,1,88,2
New Zealand,88,1,87,1,87,2,89,1
Finland,85,3,86,3,85,3,85,3
Singapore,85,3,85,4,85,3,84,6
Sweden,85,3,85,4,85,3,84,6
Switzerland,85,3,85,4,85,3,85,3
Norway,84,7,84,7,84,7,85,3
Netherlands,82,8,82,8,82,8,82,8
Germany,80,9,80,9,80,11,81,12
Luxembourg,80,9,80,9,81,9,82,8
Australia,77,11,77,12,77,13,77,13
Canada,77,11,77,12,81,9,82,8
Hong Kong,77,11,76,16,76,14,77,13
United Kingdom,77,11,77,12,80,11,82,8
Austria,76,15,77,12,76,14,75,16
Belgium,76,15,75,17,75,17,75,16
Estonia,75,17,74,18,73,18,71,21
Iceland,75,17,78,11,76,14,77,13
Japan,74,19,73,20,73,18,73,20
Ireland,72,20,74,18,73,18,74,19
United Arab Emirates,71,21,71,21,70,23,71,21
Uruguay,71,21,71,21,70,23,70,23
France,69,23,69,23,72,21,70,23
Bhutan,68,24,68,25,68,25,67,26
Chile,67,25,67,26,67,27,67,26
United States of America,67,25,69,23,71,22,75,16
Seychelles,66,27,66,27,66,28,60,36
Taiwan,65,28,65,28,63,31,63,29
Barbados,64,29,62,30,68,25,68,25
Bahamas,63,30,64,29,65,29,65,28
Qatar,63,30,62,30,62,33,63,29
Spain,62,32,62,30,58,41,57,42
"Korea, South",61,33,59,39,57,45,54,51
Portugal,61,33,62,30,64,30,63,29
Botswana,60,35,61,34,61,34,61,34
Brunei Darussalam,60,35,60,35,63,31,62,32
Israel,60,35,60,35,61,34,62,32
Lithuania,60,35,60,35,59,38,59,38
Slovenia,60,35,60,35,60,36,61,34
Saint Vincent and the Grenadines,59,40,59,39,58,41,58,40
Cabo Verde,58,41,58,41,57,45,55,48
Costa Rica,57,42,56,44,56,48,59,38
Cyprus,57,42,58,41,59,38,57,42
Latvia,57,42,56,44,58,41,58,40
Georgia,56,45,56,44,58,41,56,46
Poland,56,45,58,41,60,36,60,36
Saint Lucia,56,45,55,48,55,50,55,48
Dominica,55,48,55,48,57,45,57,42
Czechia,54,49,56,44,59,38,57,42
Oman,54,49,52,56,52,53,44,68
Rwanda,54,49,53,51,56,48,55,48
Grenada,53,52,53,51,52,53,52,52
Italy,53,52,53,51,52,53,50,54
Malta,53,52,54,50,54,51,56,46
Mauritius,53,52,52,56,51,56,50,54
Saudi Arabia,53,52,53,51,49,58,49,57
Malaysia,51,57,53,51,47,61,47,62
Namibia,51,57,52,56,53,52,51,53
Greece,50,59,48,60,45,67,48,59
Armenia,49,60,42,77,35,105,35,107
Jordan,49,60,48,60,49,58,48,59
Slovakia,49,60,50,59,50,57,50,54
Belarus,47,63,45,66,44,70,44,68
Croatia,47,63,47,63,48,60,49,57
Cuba,47,63,48,60,47,61,47,62
Sao Tome and Principe,47,63,46,64,46,64,46,64
Montenegro,45,67,45,66,45,67,46,64
Senegal,45,67,45,66,45,67,45,66
Bulgaria,44,69,43,74,42,77,43,71
Hungary,44,69,44,70,46,64,45,66
Jamaica,44,69,43,74,44,70,44,68
Romania,44,69,44,70,47,61,48,59
South Africa,44,69,44,70,43,73,43,71
Tunisia,44,69,43,74,43,73,42,74
Ghana,43,75,41,80,41,78,40,81
Maldives,43,75,29,130,31,124,33,112
Vanuatu,43,75,46,64,46,64,43,71
Argentina,42,78,45,66,40,85,39,85
Bahrain,42,78,42,77,36,99,36,103
China,42,78,41,80,39,87,41,77
Kuwait,42,78,40,85,41,78,39,85
Solomon Islands,42,78,42,77,44,70,39,85
Benin,41,83,41,80,40,85,39,85
Guyana,41,83,40,85,37,93,38,91
Lesotho,41,83,40,85,41,78,42,74
Burkina Faso,40,86,40,85,41,78,42,74
India,40,86,41,80,41,78,40,81
Morocco,40,86,41,80,43,73,40,81
Timor-Leste,40,86,38,93,35,105,38,91
Trinidad and Tobago,40,86,40,85,41,78,41,77
Turkey,40,86,39,91,41,78,40,81
Colombia,39,92,37,96,36,99,37,96
Ecuador,39,92,38,93,34,114,32,117
Brazil,38,94,35,106,35,105,37,96
Ethiopia,38,94,37,96,34,114,35,107
Kazakhstan,38,94,34,113,31,124,31,122
Peru,38,94,36,101,35,105,37,96
Serbia,38,94,39,91,39,87,41,77
Sri Lanka,38,94,38,93,38,89,38,91
Suriname,38,94,44,70,43,73,41,77
Tanzania,38,94,37,96,36,99,36,103
Gambia,37,102,37,96,37,93,30,130
Indonesia,37,102,40,85,38,89,37,96
Albania,36,104,35,106,36,99,38,91
Algeria,36,104,35,106,35,105,33,112
Cote d'Ivoire,36,104,35,106,35,105,36,103
El Salvador,36,104,34,113,35,105,33,112
Kosovo,36,104,36,101,37,93,39,85
Thailand,36,104,36,101,36,99,37,96
Vietnam,36,104,37,96,33,117,35,107
Bosnia and Herzegovina,35,111,36,101,38,89,38,91
Mongolia,35,111,35,106,37,93,36,103
North Macedonia,35,111,35,106,37,93,35,107
Panama,35,111,36,101,37,93,37,96
Moldova,34,115,32,120,33,117,31,122
Philippines,34,115,34,113,36,99,34,111
Egypt,33,117,35,106,35,105,32,117
Eswatini,33,117,34,113,38,89,39,85
Nepal,33,117,34,113,31,124,31,122
Sierra Leone,33,117,33,119,30,129,30,130
Ukraine,33,117,30,126,32,120,30,130
Zambia,33,117,34,113,35,105,37,96
Niger,32,123,32,120,34,114,33,112
Bolivia,31,124,31,123,29,132,33,112
Kenya,31,124,28,137,27,144,28,143
Kyrgyzstan,31,124,30,126,29,132,29,135
Mexico,31,124,29,130,28,138,29,135
Pakistan,31,124,32,120,33,117,32,117
Azerbaijan,30,129,30,126,25,152,31,122
Gabon,30,129,31,123,31,124,32,117
Malawi,30,129,31,123,32,120,31,122
Mali,30,129,29,130,32,120,31,122
Russia,30,129,28,137,28,138,29,135
Laos,29,134,29,130,29,132,29,135
Mauritania,29,134,28,137,27,144,28,143
Togo,29,134,29,130,30,129,32,117
Dominican Republic,28,137,28,137,30,129,29,135
Guinea,28,137,29,130,28,138,27,148
Liberia,28,137,28,137,32,120,31,122
Myanmar,28,137,29,130,29,132,30,130
Paraguay,28,137,28,137,29,132,29,135
Angola,27,142,26,146,19,165,19,167
Djibouti,27,142,30,126,31,124,31,122
Papua New Guinea,27,142,28,137,28,138,29,135
Uganda,27,142,28,137,26,149,26,151
Bangladesh,26,146,26,146,26,149,28,143
Central African Republic,26,146,25,153,26,149,23,156
Uzbekistan,26,146,25,153,23,158,22,157
Cameroon,25,149,25,153,25,152,25,153
Guatemala,25,149,26,146,27,144,28,143
Iran,25,149,26,146,28,138,30,130
Lebanon,25,149,28,137,28,138,28,143
Madagascar,25,149,24,158,25,152,24,155
Mozambique,25,149,26,146,23,158,25,153
Nigeria,25,149,26,146,27,144,27,148
Tajikistan,25,149,25,153,25,152,21,161
Honduras,24,157,26,146,29,132,29,135
Zimbabwe,24,157,24,158,22,160,22,157
Nicaragua,22,159,22,161,25,152,26,151
Cambodia,21,160,20,162,20,161,21,161
Chad,21,160,20,162,19,165,20,165
Comoros,21,160,25,153,27,144,27,148
Eritrea,21,160,23,160,24,157,20,165
Iraq,21,160,20,162,18,168,18,169
Afghanistan,19,165,16,173,16,172,15,177
Burundi,19,165,19,165,17,170,22,157
Congo,19,165,19,165,19,165,21,161
Guinea Bissau,19,165,18,168,16,172,17,171
Turkmenistan,19,165,19,165,20,161,19,167
Democratic Republic of the Congo,18,170,18,168,20,161,21,161
Haiti,18,170,18,168,20,161,22,157
"Korea, North",18,170,17,172,14,176,17,171
Libya,17,173,18,168,17,170,17,171
Equatorial Guinea,16,174,16,173,16,172,17,171
Sudan,16,174,16,173,16,172,16,175
Venezuela,15,176,16,173,18,168,18,169
Yemen,15,176,15,177,14,176,16,175
Syria,14,178,13,178,13,178,14,178
Somalia,12,179,9,180,10,180,9,180
South Sudan,12,179,12,179,13,178,12,179
